101,2,1,0,0
102,5,1,-1,0
103,4,1,-2,0
104,3,1,-1,0
105,1,1,0,0
106,2,1,-2,0
107,5,1,-3,0
108,4,1,-2,0
109,0,1,-2,0
110,0,1,-2,0
111,1,1,-5,0
112,4,1,-1,0
113,1,1,0,0
114,5,1,-1,0
115,0,1,-2,0
116,3,1,-1,0
117,1,1,0,0
118,3,1,-1,0
119,4,1,-2,0
120,1,1,0,0
201,2,2,-2,0
202,4,2,-2,0
203,4,2,-2,0
204,2,2,0,0
205,1,2,6,0
206,1,2,0,0
207,4,2,-2,0
208,4,2,-2,0
209,0,2,-2,0
210,1,2,0,0
211,2,2,0,1
212,3,2,6,0
213,4,2,-1,0
214,4,2,-2,0
215,3,2,-1,0
216,1,2,0,0
217,1,2,0,1
218,1,2,0,0
219,3,2,6,0
220,0,2,-2,0
221,0,2,-2,0
222,1,2,0,0
301,0,3,-2,0
302,4,3,-2,0
303,4,3,-2,0
304,2,3,0,0
305,4,3,-2,0
306,2,3,-5,1
307,3,3,-1,0
308,1,3,0,0
309,4,3,-2,0
310,1,3,0,1
311,2,3,6,0
312,4,3,-2,0
313,3,3,-1,0
314,1,3,0,0
315,3,3,-1,0
316,2,3,0,2
317,2,3,0,0
318,2,3,0,0
319,2,3,-2,0
320,3,3,-1,0
321,2,3,0,0
322,5,3,-1,0
401,2,4,-5,0
402,4,4,-2,0
403,1,4,0,0
404,2,4,0,0
405,3,4,-1,0
406,2,4,-2,0
407,0,4,-2,0
408,3,4,-1,0
409,1,4,0,0
410,2,4,0,0
411,3,4,-1,0
412,3,4,-1,0
413,3,4,-1,0
414,4,4,-2,0
415,3,4,-1,0
416,2,4,0,0
417,2,4,0,0
418,2,4,-3,0
419,4,4,-2,0
420,2,4,-5,0
421,3,4,-1,0
422,0,4,-2,0
501,1,5,0,0
502,4,5,-2,0
503,2,5,0,1
504,3,5,-1,0
505,1,5,-5,0
506,3,5,-1,0
507,3,5,-1,0
508,2,5,-3,0
509,3,5,-1,0
510,2,5,0,0
511,1,5,0,0
512,2,5,-3,0
513,2,5,0,0
514,1,5,0,0
515,2,5,0,2
516,4,5,-2,0
517,1,5,0,0
518,4,5,-2,0
519,1,5,0,0
520,0,5,-2,0
521,3,5,-1,0
522,2,5,-2,0
